"Local – Boston News, Weather, Sports",
"US & WORLD – Boston News, Weather, Sports","(WHDH) — Reeses peanut butter chocolate eggs are they go to Easter candy for more than half of the United States, according to RetailMeNot. InRead More"
"Politics – Boston News, Weather, Sports","WASHINGTON (AP) — After nearly two years of waiting, America will get some answers straight from Robert Mueller. The Justice Department on Thursday is expectedRead More"
"Must See – Boston News, Weather, Sports","HANFORD, Calif. (WHDH) — Princeton Jones knew he needed to call for backup when he was ready to take the next step with longtime girlfriendRead More"
"Solve It 7 – Boston News, Weather, Sports",Sometimes you don’t really realize how much you need something until it’s gone. Karina Valle has been asking that question for months after she andRead More
How to register your school/organization for closings and delays,"Schools, Businesses and Organizations

Already registered? Visit schoolclosings.com to post your status or click here!

New Registrations

Please include the following information on your organization’s letterhead and fax it to (617)-248-5348.

Name of School/Organization

The School/Organization’s Mailing Address

Contact Person and Title

Telephone Number

Fax Number

Email address (es)

Type of closing (business, public school, private school, religious education, college, day care, government)

Please be patient and allow several business days for a response time as we are currently in the middle of the storm season."
Hyde Park woman accused of vandalizing headstones at Mattapan cemetery,"BOSTON (WHDH) - A woman is facing a vandalism charge after police say she was caught acting suspiciously in a Hyde Park cemetery.

Officers who spotted Deborah Gideon, 53, of Hyde Park tossing what appeared to be red powder into the air in the area of 19 Millstone St. about 4:45 p.m. Thursday followed her to Mount Hope Cemetery, where they saw her approach several headstones and make a tossing motion with her hand, according to Boston police.

When officers stopped her car further in the cemetery, they allegedly found her to be in possession of a spray bottle, a gallon of a reddish liquid, containers of various colored salt, powered-juice mixes, and olive oil.

She will be arraigned Friday in West Roxbury District Court on charges of attempting to commit a crime to wit, vandalism of a gravestone and malicious destruction of property over $1,200.

Her arrest comes a little more than a week after police launched an investigation into damaged statues at local cemeteries. One of those incidents occurred in mid-March when five memorials were vandalized at Mount Hope Cemetery, where Gideon was arrested a month later.

Last Wednesday, officers responded to a reported vandalism at St. Gregory’s Parish church on Dorchester Avenue and found that someone had defaced a religious statue by covering it in an unknown red substance.

This is a developing news story; stay with 7News on-air and online for the latest developments.

(Copyright (c) 2019 Sunbeam Television. All Rights Reserved. This material may not be published, broadcast, rewritten, or redistributed.)"
"Metro Boston – Boston News, Weather, Sports",Emerson College officials are searching for whoever wrote on street-level advertising posters and the walls of the Little Building the names of students whom vandalsRead More
Several rescued from Charles River after 2 boats capsize,"BOSTON (WHDH) - Two boats capsized in the Charles River Friday morning, sending several people into the cold, choppy water.

Crews responding to the Longfellow Bridge area around 7:30 a.m. rescued an undisclosed amount of people who had fallen into the river after their boat capsized due to windy conditions, Cambridge fire officials said.

About 15 minutes later, crews responded to another report of a capsized boat near 409 Memorial Drive and found nine people in the water. They were picked up by Marine Unit 1 and brought to the pier.

No injuries were reported but those rescued are being evaluated by medical personnel for hypothermia.

This is a developing story; stay with 7News on air and online for the latest updates.

2 boats flipped this morning in the Charles River. Firefighters say everyone was rescued and is ok. Windy conditions and rough surf. @7News pic.twitter.com/GHC7f5RN1y — Kerri Corrado (@KerriCorrado) April 19, 2019

(Copyright (c) 2019 Sunbeam Television. All Rights Reserved. This material may not be published, broadcast, rewritten, or redistributed.)"
"South Shore – Boston News, Weather, Sports","A man who tried to bargain for his release by telling officers to keep $9,000 in cash that was found stuffed in his underwear nextRead More"
